,Station ID,CN_1361A,CN_1360A,XCNAQ021,CN_1387A,CN_1390A,CN_1388A,CN_1391A,XCNAQ2840,XCNAQ2839,XCNAQ2841,CN_1389A,XCNAQ2845,CN_1379A,XCNAQ2844,XCNAQ2842,CN_1380A,XCNAQ2843,CN_1382A,CN_1381A,XCNAQ443,XCNAQ444,XCNAQ445,CN_1378A,CN_1377A,XCNAQ2822,CN_1372A,XCNAQ2821,XCNAQ2818,CN_1373A,CN_1375A,XCNAQ047,CN_1371A,XCNAQ2820,XCNAQ025,CN_1374A,CN_1376A,XCNAQ2823,XCNAQ048,XCNAQ022,CN_1353A,XCNAQ2809,XCNAQ1179,XCNAQ2805,XCNAQ2806,CN_1347A,XCNAQ2804,CN_1346A,CN_1349A,CN_1352A,CN_1355A,CN_1348A,CN_1345A,XCNAQ2801,CN_1350A,XCNAQ2803,XCNAQ2811,XCNAQ2802,CN_1351A,XCNAQ2800,XCNAQ2807,XCNAQ2808,CN_1354A,XCNAQ2810,CN_1393A,XCNAQ2836,CN_1396A,XCNAQ2838,XCNAQ2835,CN_1395A,CN_1394A,CN_1392A,XCNAQ2837,XCNAQ428,XCNAQ426,XCNAQ543,XCNAQ429,XCNAQ1148,XCNAQ427,XCNAQ1149,XCNAQ434,XCNAQ435,XCNAQ436,XCNAQ247,XCNAQ249,XCNAQ248,XCNAQ245,XCNAQ246,XCNAQ250,XCNAQ438,XCNAQ437,XCNAQ439,CN_1386A,CN_1383A,XCNAQ2827,XCNAQ2828,CN_1385A,XCNAQ2829,XCNAQ2824,XCNAQ2825,XCNAQ2826,CN_1384A,XCNAQ1145,XCNAQ415,XCNAQ416,XCNAQ417,XCNAQ1144,XCNAQ1146,CN_1358A,CN_1359A,XCNAQ1296,CN_1363A,XCNAQ555,XCNAQ549,CN_1365A,XCNAQ553,XCNAQ548,XCNAQ2814,CN_1357A,XCNAQ2813,XCNAQ2812,CN_1360A.1,CN_1356A,CN_1364A,CN_1362A,CN_1366A,XCNAQ1295,CN_1361A.1,XCNAQ418,XCNAQ419,XCNAQ1239,XCNAQ420,XCNAQ1147,XCNAQ252,XCNAQ257,XCNAQ251,XCNAQ253,XCNAQ256,XCNAQ254,XCNAQ425,XCNAQ1246,XCNAQ424,XCNAQ423,CN_1368A,CN_1367A,CN_1369A,CN_1370A,XCNAQ2816,XCNAQ2817,XCNAQ031,XCNAQ034,XCNAQ032,CN_1400A,XCNAQ2831,XCNAQ2834,CN_1399A,CN_1398A,XCNAQ2830,XCNAQ2832,CN_1397A,XCNAQ2833,XCNAQ432,XCNAQ430,XCNAQ431,XCNAQ433,XCNAQ258,XCNAQ036,XCNAQ033,XCNAQ029,XCNAQ442,XCNAQ441,XCNAQ440,XCNAQ263,XCNAQ262,XCNAQ264,XCNAQ261,XCNAQ265,XCNAQ023
0,Latitude,22.7267,22.5908,22.7108,23.0536,23.0127,23.0277,22.9658,22.8088,22.9741,23.0662,23.0600,22.3511,22.5211,22.5047,22.6450,22.5497,22.6275,22.5111,22.4853,22.9394,22.9168,22.9539,23.1886,23.1572,22.9711,23.0395,22.9819,23.0327,23.0467,22.7628,22.9977,23.0048,23.0452,22.8191,22.8054,22.8693,22.9316,22.5862,23.6503,23.2783,23.5472,23.1323,22.6165,23.2872,23.1358,23.1988,23.1050,23.1050,23.1331,23.5538,23.0916,23.1422,23.0769,22.9477,22.9061,23.1932,23.2263,23.3917,23.4501,23.0783,23.0632,23.1569,23.0995,23.0799,23.1713,22.7422,22.7750,22.9868,22.8172,23.1142,23.0528,23.7247,23.5738,23.5352,23.5503,23.5486,23.5353,23.5292,23.5486,24.3289,24.2719,24.2654,23.2536,23.2539,23.4714,23.2775,23.3667,23.3633,22.7898,22.7750,22.7925,22.5931,22.6069,22.7725,22.2550,22.5328,22.7750,22.2466,22.3797,22.3602,22.5811,23.7586,23.7566,23.6570,23.7227,23.7569,23.7232,22.5417,22.5167,22.5171,22.5422,22.7471,22.7622,22.5978,22.6422,22.7263,22.5680,22.5625,22.5432,22.5298,22.5908,22.5500,22.6342,22.5794,22.7500,22.5545,22.7267,23.7106,23.6598,23.6344,23.6936,23.6351,21.2567,21.2228,21.2706,21.1997,21.2028,21.2679,23.6530,23.6588,23.6706,23.6713,22.2293,22.2611,22.4251,22.2281,22.0214,22.0650,23.1077,22.0597,23.4258,23.0786,23.3430,23.6327,23.1617,23.0528,23.1473,23.4215,23.0706,23.3027,21.6668,21.4689,21.6533,21.6828,22.5344,23.3404,22.7280,22.9397,21.8536,21.8649,21.8586,24.7959,24.7695,24.6863,24.8111,24.7790,23.1514
1,Longitude,114.2400,114.2630,113.5486,113.7819,113.7944,113.7461,113.7383,114.0686,114.0091,113.9225,113.7480,113.4377,113.3769,113.5216,113.2627,113.3881,113.4927,113.4075,113.4411,112.0369,112.0392,112.0539,112.8630,112.8850,113.1163,113.1050,112.9933,113.1500,113.1440,113.2570,113.1022,113.1340,112.8466,113.3100,113.2920,112.8440,112.8638,112.5814,113.6247,113.5680,113.5744,113.3208,113.6445,113.8208,113.3170,113.3608,113.2610,113.4330,113.2600,113.5890,113.3480,113.2350,113.3158,113.3520,113.3425,113.3006,113.2383,113.2150,113.3344,113.2227,113.5255,113.2810,113.4717,114.4053,114.2823,114.5317,114.6516,114.7148,114.3244,114.4103,114.4183,114.2577,116.3594,116.3697,116.3728,116.3241,116.3697,116.4094,116.3242,116.1278,116.0797,116.1248,116.4019,116.6092,116.7519,116.7258,116.6794,116.7244,115.3706,115.3653,115.3622,113.0819,113.1040,112.9533,112.7936,113.0240,112.9701,112.7972,112.7019,112.6726,113.0740,114.6944,114.6995,114.6878,114.6949,114.6778,114.6892,113.9870,113.9230,113.9181,114.4940,114.3489,113.8622,114.2970,114.1755,113.7689,114.0898,114.1170,114.0712,114.0117,114.2630,114.0960,114.4100,113.8910,114.0850,114.1063,114.2400,113.0208,113.0563,113.0472,113.0425,113.0682,110.4558,110.3928,110.3539,110.4019,110.4111,110.3316,116.6175,116.6183,116.6447,116.6339,113.4950,113.5740,113.6280,113.2990,113.2154,113.3479,113.3316,112.7550,113.0677,112.4722,112.6991,112.4277,112.5650,112.4710,111.7758,111.5039,112.4270,112.8119,110.9067,111.0286,110.9294,110.8592,113.9163,114.1074,112.9290,114.3806,111.9508,111.9494,111.9786,113.5980,113.5866,113.5970,113.5593,113.6734,113.2806
2,Time,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
3,2013/01/01 00:00:00,-99999.0000,90.2917,-99999.0000,108.2083,81.8750,94.0417,95.2500,-99999.0000,-99999.0000,-99999.0000,95.2917,-99999.0000,80.5217,-99999.0000,-99999.0000,102.7273,-99999.0000,99.6250,101.9167,-99999.0000,-99999.0000,-99999.0000,103.1667,96.5417,-99999.0000,116.2500,-99999.0000,-99999.0000,86.9167,100.8750,130.3750,92.3333,-99999.0000,150.3333,89.9583,102.9167,-99999.0000,-99999.0000,52.0833,113.7083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,72.4167,-99999.0000,71.2500,84.1250,84.0833,-99999.0000,71.7917,106.3333,-99999.0000,89.5500,-99999.0000,-99999.0000,-99999.0000,89.3333,-99999.0000,-99999.0000,-99999.0000,68.3750,-99999.0000,106.6250,-99999.0000,90.3333,-99999.0000,-99999.0000,70.1667,86.7500,80.3333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,106.9583,106.9167,61.6250,-99999.0000,105.0000,51.8750,-99999.0000,-99999.0000,-99999.0000,95.1250,102.8750,-99999.0000,-99999.0000,105.4167,-99999.0000,-99999.0000,-99999.0000,-99999.0000,101.2500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,99.0909,126.7083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,61.8750,-99999.0000,-99999.0000,90.2917,96.9167,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,97.3750,105.6250,-99999.0000,103.5833,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,84.2500,88.4583,94.7500,83.7083,-99999.0000,-99999.0000,105.7500,109.2083,-99999.0000,43.9583,-99999.0000,-99999.0000,44.1667,53.2083,-99999.0000,-99999.0000,83.2500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,118.5000,53.3333,115.2917,78.2500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,46.4167,93.2083,85.1250,47.0417,-99999.0000
4,2013/01/02 00:00:00,-99999.0000,117.3333,-99999.0000,101.0000,78.6667,86.7500,87.4167,-99999.0000,-99999.0000,-99999.0000,84.3750,-99999.0000,122.4167,-99999.0000,-99999.0000,147.9583,-99999.0000,131.4583,138.0000,-99999.0000,-99999.0000,-99999.0000,100.6667,88.2083,-99999.0000,136.2500,-99999.0000,-99999.0000,97.1250,128.4583,116.2083,-99999.0000,-99999.0000,123.0000,114.9167,122.8750,-99999.0000,-99999.0000,55.3333,88.6250,-99999.0000,-99999.0000,-99999.0000,-99999.0000,82.5833,-99999.0000,91.0833,78.2500,87.7500,-99999.0000,81.2083,111.1250,-99999.0000,93.0833,-99999.0000,-99999.0000,-99999.0000,94.1667,-99999.0000,-99999.0000,-99999.0000,93.5417,-99999.0000,86.3750,-99999.0000,112.1250,-99999.0000,-99999.0000,75.5417,72.0417,68.0417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,103.1667,75.9583,50.5000,-99999.0000,77.0000,37.5000,-99999.0000,-99999.0000,-99999.0000,111.7500,124.2917,-99999.0000,-99999.0000,57.9583,-99999.0000,-99999.0000,-99999.0000,-99999.0000,113.0833,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,136.4583,192.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,77.6667,-99999.0000,-99999.0000,117.3333,100.5833,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,81.4167,105.8750,-99999.0000,87.5833,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,123.9583,116.5833,35.2941,118.6250,-99999.0000,-99999.0000,94.4583,125.0417,-99999.0000,41.0000,-99999.0000,-99999.0000,53.8750,51.0000,-99999.0000,-99999.0000,78.2500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,170.4583,49.6667,121.0000,82.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,41.6250,112.2500,92.8333,57.9167,-99999.0000
5,2013/01/03 00:00:00,-99999.0000,65.5833,-99999.0000,73.5417,57.4167,62.4167,66.5417,-99999.0000,-99999.0000,-99999.0000,61.3333,-99999.0000,60.3478,-99999.0000,-99999.0000,75.3750,-99999.0000,92.2500,84.5000,-99999.0000,-99999.0000,-99999.0000,43.7917,40.5417,-99999.0000,74.4167,-99999.0000,-99999.0000,52.2500,78.1667,66.1667,59.7083,-99999.0000,-99999.0000,71.5417,57.8333,-99999.0000,-99999.0000,39.0417,48.3333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,54.9167,-99999.0000,50.2083,44.9545,59.0833,-99999.0000,50.1250,54.7917,-99999.0000,59.6250,-99999.0000,-99999.0000,-99999.0000,55.0417,-99999.0000,-99999.0000,-99999.0000,49.5417,-99999.0000,64.7917,-99999.0000,64.6250,-99999.0000,-99999.0000,59.9167,53.8750,55.3333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,62.2917,48.3750,35.9583,-99999.0000,50.7083,30.1667,-99999.0000,-99999.0000,-99999.0000,83.2500,73.7083,-99999.0000,-99999.0000,51.9167,-99999.0000,-99999.0000,-99999.0000,-99999.0000,64.8750,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,74.8750,93.1250,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,48.4167,-99999.0000,-99999.0000,65.5833,51.7500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,49.5833,-99999.0000,-99999.0000,55.6250,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,86.3333,80.0833,-99999.0000,66.5833,-99999.0000,-99999.0000,62.1667,68.9583,-99999.0000,20.0833,-99999.0000,-99999.0000,23.2917,24.4583,-99999.0000,-99999.0000,27.7083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,77.2083,49.3750,58.0476,60.5417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,49.7083,31.8333,41.8750,33.3750,-99999.0000
6,2013/01/04 00:00:00,-99999.0000,53.7500,-99999.0000,56.6000,48.1333,51.1333,53.0000,-99999.0000,-99999.0000,-99999.0000,46.6000,-99999.0000,47.6250,-99999.0000,-99999.0000,58.5833,-99999.0000,68.3333,65.2917,-99999.0000,-99999.0000,-99999.0000,30.0833,31.9130,-99999.0000,55.2500,-99999.0000,-99999.0000,37.6250,58.3333,56.8667,45.7500,-99999.0000,-99999.0000,45.6667,45.2917,-99999.0000,48.4000,23.7333,34.1333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,35.3333,-99999.0000,28.5417,29.5417,36.4583,-99999.0000,28.8333,34.7083,-99999.0000,41.6250,-99999.0000,-99999.0000,-99999.0000,34.5417,-99999.0000,-99999.0000,-99999.0000,32.0417,-99999.0000,39.5333,-99999.0000,59.7333,-99999.0000,-99999.0000,43.7333,35.0667,46.2667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,75.2917,67.3333,39.4583,57.8667,84.2609,-99999.0000,-99999.0000,-99999.0000,-99999.0000,64.6667,69.4000,-99999.0000,-99999.0000,54.3333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,95.2667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,64.4583,78.6667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,42.5417,-99999.0000,-99999.0000,53.7500,50.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,42.3043,-99999.0000,55.2917,49.2500,346.7333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,59.3750,55.3750,54.3636,58.0000,-99999.0000,-99999.0000,44.4000,65.5333,-99999.0000,18.1333,-99999.0000,-99999.0000,19.8667,26.0667,-99999.0000,-99999.0000,30.5333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,68.7917,31.2667,57.3333,42.3333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,42.3333,25.9583,28.8750,19.2778,-99999.0000
7,2013/01/05 00:00:00,-99999.0000,71.0833,-99999.0000,51.0435,43.5217,45.5652,49.7391,-99999.0000,-99999.0000,-99999.0000,45.0000,-99999.0000,58.1250,-99999.0000,-99999.0000,71.1667,-99999.0000,77.7083,78.9167,-99999.0000,-99999.0000,-99999.0000,32.1667,31.7273,-99999.0000,66.2500,-99999.0000,-99999.0000,50.2083,58.1250,60.5217,55.8333,-99999.0000,60.5652,53.0833,56.5833,-99999.0000,52.0870,23.1304,39.9130,-99999.0000,-99999.0000,-99999.0000,-99999.0000,43.0000,-99999.0000,37.2917,37.7917,43.3750,-99999.0000,39.2500,46.6250,-99999.0000,45.9167,-99999.0000,-99999.0000,-99999.0000,41.8333,-99999.0000,-99999.0000,-99999.0000,43.4583,-99999.0000,41.3913,-99999.0000,58.6522,-99999.0000,-99999.0000,41.8696,30.5217,44.7391,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,72.1250,61.5417,46.7083,42.4167,63.5000,36.7083,-99999.0000,-99999.0000,-99999.0000,52.0435,55.9130,-99999.0000,-99999.0000,40.3043,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,75.3333,98.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,58.9583,-99999.0000,-99999.0000,71.0833,73.9130,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,42.3750,-99999.0000,53.7917,51.7500,345.8750,-99999.0000,-99999.0000,-99999.0000,-99999.0000,80.4167,62.2083,67.2500,61.3043,-99999.0000,-99999.0000,49.4348,58.9565,-99999.0000,18.9565,-99999.0000,-99999.0000,20.1739,23.6522,-99999.0000,-99999.0000,24.1739,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,83.0000,24.5652,50.6087,44.3478,-99999.0000,-99999.0000,-99999.0000,-99999.0000,40.0417,32.4167,28.1053,26.1250,-99999.0000
8,2013/01/06 00:00:00,-99999.0000,75.7500,-99999.0000,70.0417,54.3750,62.7500,64.0833,-99999.0000,-99999.0000,-99999.0000,60.0833,-99999.0000,74.6522,-99999.0000,-99999.0000,88.9167,-99999.0000,93.4545,92.5833,-99999.0000,-99999.0000,-99999.0000,39.3750,41.3810,-99999.0000,72.5833,-99999.0000,-99999.0000,57.7083,74.1250,66.6250,64.8750,-99999.0000,78.4583,70.0833,60.7500,-99999.0000,64.0000,30.4167,55.7917,-99999.0000,-99999.0000,-99999.0000,-99999.0000,54.2917,-99999.0000,45.2917,47.5833,56.5833,-99999.0000,52.1250,56.6667,-99999.0000,56.7500,-99999.0000,-99999.0000,-99999.0000,62.2083,-99999.0000,-99999.0000,-99999.0000,54.6250,-99999.0000,50.4167,-99999.0000,64.5833,-99999.0000,-99999.0000,50.3333,46.9167,50.5833,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,88.2500,75.2500,47.5000,54.7083,78.2083,42.5000,-99999.0000,-99999.0000,-99999.0000,48.0000,59.0000,-99999.0000,-99999.0000,37.6250,-99999.0000,-99999.0000,-99999.0000,-99999.0000,50.3636,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,87.0000,103.1250,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,65.2500,-99999.0000,-99999.0000,75.7500,67.6250,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,47.0417,-99999.0000,58.8750,56.1250,344.3333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,83.4167,74.5417,76.8333,68.6667,-99999.0000,-99999.0000,66.1250,62.4167,-99999.0000,20.9167,-99999.0000,-99999.0000,27.5000,29.9583,-99999.0000,-99999.0000,24.1667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,84.2083,35.3333,48.8333,50.0417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,46.4167,47.8333,45.1905,38.1667,-99999.0000
9,2013/01/07 00:00:00,-99999.0000,107.7500,-99999.0000,91.0833,65.8333,82.5000,112.5833,-99999.0000,-99999.0000,-99999.0000,79.7083,-99999.0000,119.5417,-99999.0000,-99999.0000,142.7500,-99999.0000,115.0000,145.7778,-99999.0000,-99999.0000,-99999.0000,91.6667,73.1000,-99999.0000,117.1250,-99999.0000,-99999.0000,87.3333,120.1250,102.2500,95.8750,-99999.0000,122.2083,105.9583,90.5000,-99999.0000,64.7083,44.1667,71.0417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,78.0833,-99999.0000,78.2917,93.4500,94.0833,-99999.0000,86.0833,107.4583,-99999.0000,99.3750,-99999.0000,-99999.0000,-99999.0000,85.3750,-99999.0000,-99999.0000,-99999.0000,89.2500,-99999.0000,82.3333,-99999.0000,85.2917,-99999.0000,-99999.0000,69.6667,58.8333,58.4583,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,80.8333,73.8261,48.9167,50.7917,74.4167,39.0833,-99999.0000,-99999.0000,-99999.0000,75.6667,100.3750,-99999.0000,-99999.0000,75.5417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,97.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,128.5833,162.2083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,102.5417,-99999.0000,-99999.0000,107.7500,109.2083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,54.8261,-99999.0000,80.1250,73.5417,342.3750,-99999.0000,-99999.0000,-99999.0000,-99999.0000,102.5000,86.2917,117.4167,89.1667,-99999.0000,-99999.0000,96.9583,87.7500,-99999.0000,25.6667,-99999.0000,-99999.0000,38.3333,36.1250,-99999.0000,-99999.0000,33.1667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,124.2083,47.4583,104.4583,70.6667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,42.4583,74.1500,15.0833,50.7500,-99999.0000
10,2013/01/08 00:00:00,-99999.0000,118.3333,-99999.0000,102.6667,77.3333,87.7083,94.3333,-99999.0000,-99999.0000,-99999.0000,81.2917,-99999.0000,98.3913,-99999.0000,-99999.0000,114.7500,-99999.0000,134.3750,129.8750,-99999.0000,-99999.0000,-99999.0000,52.5833,51.2727,-99999.0000,102.5417,-99999.0000,-99999.0000,82.7917,109.2083,93.3333,93.2500,-99999.0000,110.2500,97.8333,81.1667,-99999.0000,82.2917,57.0000,69.1667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,80.7083,-99999.0000,65.1250,75.0909,85.9167,-99999.0000,77.2500,85.4583,-99999.0000,88.6667,-99999.0000,-99999.0000,-99999.0000,77.5417,-99999.0000,-99999.0000,-99999.0000,80.8333,-99999.0000,90.1250,-99999.0000,104.6667,-99999.0000,-99999.0000,75.9583,72.6667,78.5000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,60.5000,53.6250,44.5000,37.7917,64.6250,-99999.0000,-99999.0000,-99999.0000,-99999.0000,73.8333,81.3750,-99999.0000,-99999.0000,39.7500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,77.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,128.3750,184.0833,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,112.5000,-99999.0000,-99999.0000,118.3333,105.5417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,64.8750,-99999.0000,74.2083,68.1667,342.0417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,117.9583,107.2917,114.3750,93.1250,-99999.0000,-99999.0000,98.7083,88.5417,-99999.0000,8.9583,-99999.0000,-99999.0000,33.8333,37.6667,-99999.0000,-99999.0000,32.7083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,139.8750,56.9583,80.8750,92.1667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,53.6667,67.1000,49.4348,53.4583,-99999.0000
11,2013/01/09 00:00:00,-99999.0000,64.3158,-99999.0000,80.6250,69.3750,69.8750,70.3750,-99999.0000,-99999.0000,-99999.0000,68.7083,-99999.0000,70.6842,-99999.0000,-99999.0000,85.2105,-99999.0000,102.3684,100.5789,-99999.0000,-99999.0000,-99999.0000,67.2105,71.0000,-99999.0000,91.7895,-99999.0000,-99999.0000,71.5789,89.2105,89.2083,75.8421,-99999.0000,90.2917,83.4737,79.4737,-99999.0000,65.8333,66.2500,68.3333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,71.8947,-99999.0000,54.7368,61.3684,73.6316,-99999.0000,60.7895,71.0000,-99999.0000,75.2632,-99999.0000,-99999.0000,-99999.0000,83.0526,-99999.0000,-99999.0000,-99999.0000,69.0000,-99999.0000,84.9167,-99999.0000,79.2500,-99999.0000,-99999.0000,66.3333,73.2917,68.2917,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,93.8421,80.7895,58.0526,67.4211,83.5294,51.5625,-99999.0000,-99999.0000,-99999.0000,74.7083,84.0833,-99999.0000,-99999.0000,58.0417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,73.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,91.3684,113.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,78.0000,-99999.0000,-99999.0000,64.3158,71.6842,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,45.5263,-99999.0000,54.1053,50.8421,342.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,92.1579,85.3684,87.0000,74.0417,-99999.0000,-99999.0000,85.7917,67.3750,-99999.0000,28.0417,-99999.0000,-99999.0000,34.0417,34.0000,-99999.0000,-99999.0000,31.1250,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,86.7895,63.1667,80.3750,78.5000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,53.9474,-99999.0000,68.4737,87.5263,-99999.0000
