,Station ID,XCNAQ507,XCNAQ2901,XCNAQ508,XCNAQ2900,XCNAQ1934,CN_1269A,XCNAQ1930,XCNAQ1933,XCNAQ1935,XCNAQ1936,XCNAQ1932,XCNAQ1928,CN_1267A,XCNAQ1937,CN_1268A,XCNAQ1931,XCNAQ1929,XCNAQ503,XCNAQ504,XCNAQ1920,XCNAQ1927,XCNAQ1924,XCNAQ1923,CN_1256A,XCNAQ1921,XCNAQ1919,XCNAQ1926,XCNAQ1922,XCNAQ1925,CN_1257A,CN_1255A,XCNAQ1903,XCNAQ1207,XCNAQ1900,CN_1253A,XCNAQ1906,XCNAQ1905,XCNAQ1899,CN_1252A,XCNAQ1897,XCNAQ2879,XCNAQ1898,CN_1254A,XCNAQ1902,XCNAQ1904,XCNAQ1901,XCNAQ1880,XCNAQ1206,CN_1235A,CN_1237A,CN_1234A,CN_1240A,XCNAQ1882,XCNAQ1877,XCNAQ1878,XCNAQ1874,CN_1238A,CN_1241A,XCNAQ1881,XCNAQ1876,XCNAQ1883,XCNAQ1875,CN_1239A,XCNAQ1879,CN_1236A,XCNAQ132,XCNAQ131,XCNAQ509,XCNAQ510,XCNAQ2899,CN_1226A,CN_1231A,CN_1233A,CN_1225A,CN_1227A,CN_1230A,CN_1232A,CN_1229A,XCNAQ1871,XCNAQ1870,CN_1228A,CN_1223A,XCNAQ1872,XCNAQ1873,CN_1224A,XCNAQ1885,XCNAQ1894,XCNAQ1884,CN_1243A,XCNAQ1890,XCNAQ1892,CN_1245A,XCNAQ1896,XCNAQ1887,XCNAQ1895,XCNAQ1888,XCNAQ1886,CN_1242A,XCNAQ1891,XCNAQ1893,XCNAQ1889,CN_1244A,XCNAQ1909,XCNAQ1208,CN_1251A,XCNAQ1209,CN_1249A,CN_1250A,XCNAQ1911,XCNAQ1908,XCNAQ1907,XCNAQ1910,XCNAQ1942,XCNAQ1944,XCNAQ1938,CN_1247A,XCNAQ1940,XCNAQ1945,CN_1248A,XCNAQ1939,XCNAQ1210,CN_1246A,XCNAQ1941,CN_1260A,CN_1258A,XCNAQ1917,XCNAQ1918,CN_1259A,XCNAQ1916,CN_1265A,XCNAQ1913,XCNAQ1914,XCNAQ1912,XCNAQ1915,CN_1264A,CN_1266A,XCNAQ505,XCNAQ506,XCNAQ2898,XCNAQ1954,XCNAQ1951,XCNAQ1952,CN_1262A,XCNAQ1947,CN_1261A,XCNAQ1957,XCNAQ1946,XCNAQ1953,XCNAQ1948,XCNAQ1218,XCNAQ1955,XCNAQ1949,CN_1263A,XCNAQ1956
0,Latitude,30.2311,30.2366,30.2366,30.2319,28.1172,28.4231,28.6627,28.4513,27.6263,27.9800,28.4505,28.0800,28.4514,28.0730,28.4586,28.5932,28.1452,29.3353,29.3049,29.1167,28.8709,28.3672,28.8557,28.6542,29.1483,29.1605,28.8402,28.7373,28.3755,28.5773,28.6459,30.6921,30.7525,30.8247,30.7478,30.6225,30.6506,30.8289,30.7946,30.5240,30.8334,30.5238,30.7567,30.5114,30.7288,30.5016,30.0450,29.9016,29.8208,29.8906,29.9108,29.8633,29.6645,29.2880,29.2952,30.1759,29.9017,29.8506,30.1616,29.4781,29.6900,29.2002,29.7736,30.0497,29.9572,29.7042,29.8752,30.0490,30.0510,30.0469,30.3058,30.4183,30.1808,29.6350,30.2456,30.3119,30.1819,30.2897,29.8039,29.7961,30.2692,30.2100,29.4744,29.4612,30.2747,28.1566,28.1209,27.8314,27.9939,27.7816,27.7773,28.0167,27.6652,27.6596,28.0297,27.5038,28.0405,28.0089,27.5566,27.7883,27.5819,27.9747,30.5483,30.8955,30.8617,30.8596,30.8867,30.8244,30.5980,30.5363,31.0144,31.0208,30.0218,29.5661,30.0824,29.9919,29.4905,29.5986,30.0070,30.0476,30.0033,30.0911,29.5007,29.9944,30.0203,30.2669,30.7266,29.9558,28.7272,28.9664,28.8958,29.0363,29.1341,28.7434,28.9404,28.9745,29.7087,29.7320,29.7288,29.2746,29.2267,29.2124,29.0770,28.8891,29.1131,29.1636,29.4631,29.2981,28.9077,29.1128,28.8911,29.4368,29.1029,28.9028
1,Longitude,119.6942,119.7186,119.7183,119.6947,119.5633,119.8790,120.0855,119.4797,119.0594,119.6294,119.4741,119.1328,119.9140,119.1267,119.9300,119.2725,120.2836,120.0786,120.0905,121.3759,121.1815,121.3872,120.7288,121.4190,121.0052,121.0619,121.1140,120.4773,121.3655,121.3770,121.2730,121.0185,120.7844,120.8680,120.7260,120.5657,120.5411,120.9447,120.7440,120.9454,120.9274,120.6782,120.7630,120.7131,120.9952,120.9455,121.1200,121.6147,121.5600,121.5540,121.8360,121.5860,121.4096,121.4202,121.4302,121.2571,121.6150,121.5240,121.2722,121.8861,121.2826,121.9341,121.6330,121.1475,121.7130,121.3835,121.5286,119.9460,119.9589,119.9518,120.3480,120.3010,120.0880,119.0260,120.1270,120.1200,120.2700,120.1570,119.6711,119.6905,120.1900,120.2110,119.2762,119.2876,120.0630,120.6922,120.9658,121.1493,120.6770,120.0930,120.6553,120.6710,120.5615,120.5701,120.8911,120.3950,120.6586,120.6340,119.7219,120.6273,120.5488,120.7600,119.9880,120.0875,120.0930,120.1844,120.1000,120.0700,119.6952,119.9733,119.8980,119.9083,120.8731,120.8172,120.4931,120.6050,120.9148,120.8222,120.5760,120.4719,120.7789,120.5980,120.8976,122.1900,122.1220,122.2202,122.4458,122.3094,118.6275,118.8710,118.5222,119.1724,118.4047,118.6350,118.8710,118.8550,120.2487,120.2090,120.2171,120.2413,119.4856,119.4662,119.6470,119.8122,119.6490,119.7950,119.8835,120.2460,119.8147,119.6533,120.0317,119.9286,119.6860,120.0212
2,Time,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
3,2013/01/01 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,86.3750,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,107.2500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,137.6667,-99999.0000,-99999.0000,-99999.0000,107.3000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,73.8750,106.6250,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,76.6667,33.7917,128.8750,-99999.0000,-99999.0000,-99999.0000,-99999.0000,159.9167,100.7917,33.0000,-99999.0000,137.3333,155.7917,-99999.0000,-99999.0000,-99999.0000,150.5417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,119.8750,-99999.0000,-99999.0000,89.0417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,113.3333,-99999.0000,-99999.0000,-99999.0000,121.9167,-99999.0000,-99999.0000,107.7917,-99999.0000,106.6190,133.1250,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,141.2917,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
4,2013/01/02 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,62.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,60.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,96.6250,-99999.0000,-99999.0000,-99999.0000,78.6250,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,70.5417,87.2083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,66.7083,26.7500,94.2083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,114.0417,126.5000,92.5417,-99999.0000,101.6250,118.2917,-99999.0000,-99999.0000,-99999.0000,106.8750,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,82.3750,-99999.0000,-99999.0000,52.0833,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,87.0833,-99999.0000,-99999.0000,-99999.0000,76.0000,-99999.0000,-99999.0000,95.6667,-99999.0000,97.3333,102.7500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,104.3750,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
5,2013/01/03 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,65.3333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,55.2917,-99999.0000,-99999.0000,-99999.0000,-99999.0000,83.4348,-99999.0000,-99999.0000,-99999.0000,72.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,67.2917,91.8333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,80.0833,42.7500,90.4583,-99999.0000,-99999.0000,-99999.0000,-99999.0000,77.1667,57.4167,34.8333,-99999.0000,53.7500,62.5833,-99999.0000,-99999.0000,-99999.0000,62.3333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,61.0417,-99999.0000,-99999.0000,59.5833,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,62.0417,-99999.0000,-99999.0000,-99999.0000,60.5417,-99999.0000,-99999.0000,74.4348,-99999.0000,69.8235,82.1667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,77.7500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
6,2013/01/04 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,55.9583,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,45.7500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,92.9583,-99999.0000,-99999.0000,-99999.0000,81.8500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,58.3333,83.9167,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,73.6250,33.2083,72.9583,-99999.0000,-99999.0000,-99999.0000,-99999.0000,79.2500,46.5000,28.1667,-99999.0000,48.8333,59.7917,-99999.0000,-99999.0000,-99999.0000,56.5417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,56.8333,-99999.0000,-99999.0000,49.1667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,53.7083,-99999.0000,-99999.0000,-99999.0000,55.7083,-99999.0000,-99999.0000,87.6250,-99999.0000,84.4211,86.4167,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,93.9167,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
7,2013/01/05 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,54.0417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,43.7500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,99.5833,-99999.0000,-99999.0000,-99999.0000,79.6111,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,83.8333,117.2083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,98.5417,42.5417,97.0833,-99999.0000,-99999.0000,-99999.0000,-99999.0000,133.4167,90.2917,27.0417,-99999.0000,102.0000,107.1667,-99999.0000,-99999.0000,-99999.0000,113.8750,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,60.3333,-99999.0000,-99999.0000,46.4583,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,62.9583,-99999.0000,-99999.0000,-99999.0000,60.5909,-99999.0000,-99999.0000,136.9583,-99999.0000,131.4286,132.2500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,131.7917,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
8,2013/01/06 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,31.3043,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,26.5000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,156.0000,-99999.0000,-99999.0000,-99999.0000,134.9500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,77.0000,87.4583,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,117.0417,42.5417,91.4583,-99999.0000,-99999.0000,-99999.0000,-99999.0000,116.3333,76.0417,52.5833,-99999.0000,87.8750,68.2917,-99999.0000,-99999.0000,-99999.0000,84.0417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,53.0833,-99999.0000,-99999.0000,41.5000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,62.0833,-99999.0000,-99999.0000,-99999.0000,52.7917,-99999.0000,-99999.0000,141.5833,-99999.0000,142.9500,135.4167,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,87.8750,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
9,2013/01/07 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,42.2917,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,32.4167,-99999.0000,-99999.0000,-99999.0000,-99999.0000,192.0000,-99999.0000,-99999.0000,-99999.0000,166.4167,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,125.1304,128.7083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,162.8750,65.2083,158.1250,-99999.0000,-99999.0000,-99999.0000,-99999.0000,190.9167,125.2083,51.6667,-99999.0000,134.1667,158.6250,-99999.0000,-99999.0000,-99999.0000,132.5000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,66.9130,-99999.0000,-99999.0000,49.2083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,60.7917,-99999.0000,-99999.0000,-99999.0000,60.7083,-99999.0000,-99999.0000,170.9583,-99999.0000,182.9091,173.6667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,174.3750,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
